"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"pin_4";"pin_5";"pin_6";"link";"txt_1";"txt_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"23";"71";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q5";"1";"2";"3";"4";"5";"6";"";"3VU1300";"";"59c";"26";"= 418";"+ 400A";"";"TEXPAN filter rotary valve";"418M2"
"24";"72";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q6";"1";"2";"3";"4";"5";"6";"";"3VU1300";"";"59d";"26";"= 418";"+ 400A";"";"TEXPAN filter screw conveyor";"418M3"
"25";"73";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q30";"1";"2";"3";"4";"5";"6";"/61.6";"3VU1300";"6-10A
b=6,9A";"61";"26";"= 418";"+ 400A";"forming machine D";"transversal screw conveyor belt";"418M30"
"26";"74";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q31";"1";"2";"3";"4";"5";"6";"/62.6";"3VU1300";"6-10A
b=6,9A";"62";"26";"= 418";"+ 400A";"forming machine D";"injection screw";"418M31"
"27";"75";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q32";"1";"2";"3";"4";"5";"6";"/63.6";"3VU1300";"10-16A
b=15,5A";"63";"26";"= 418";"+ 400A";"forming machine D";"recycling conveyor";"418M32"
"28";"76";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q33";"1";"2";"3";"4";"5";"6";"/81.6";"3VU1300";"6-10A
b=6,0A";"81";"26";"= 418";"+ 400A";"forming machine D";"recycling screw conveyor";"418M33"
"29";"77";"AZD_H_11";"A";"approved";"170.08";"156.67";"1192.0";"871.0";"-Q1";"1";"2";"3";"4";"5";"6";"/64.6";"3VU1300";"0,4-0,6A
b=0,71A";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"30";"78";"AZD_H_11";"A";"approved";"170.08";"156.67";"1192.0";"871.0";"-Q3";"1";"2";"3";"4";"5";"6";"/65.6";"3VU1300";"10-16A
b=11,6A";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"31";"79";"AZD_H_11";"A";"approved";"170.08";"156.67";"1192.0";"871.0";"-Q4";"1";"2";"3";"4";"5";"6";"/66.6";"3VU1300";"10-16A
b=11,6A";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
"32";"80";"AZD_H_11";"A";"approved";"170.08";"156.67";"1192.0";"871.0";"-Q9";"1";"2";"3";"4";"5";"6";"/67.6";"3VU1300";"18-25A
b=21A";"67";"5";"= 420";"+ 400A";"forming line";"HP - pump";"420M9"
