"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"pin_1";"pin_2";"pin_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"56";"contact_signal_CO_2";"B";"approved";"444.33";"335.25";"1192.0";"871.0";"";"/48.6";"96";"95";"98";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"2";"60";"contact_signal_CO_2";"B";"approved";"852.52";"323.92";"1192.0";"871.0";"";"/52a.1";"96";"95";"98";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"3";"63";"contact_signal_CO_2";"B";"approved";"444.33";"335.25";"1192.0";"871.0";"";"/54.6";"96";"95";"98";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
