"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"60";"con_L_DownRight";"default";"approved";"476.22";"678.24";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"2";"60";"con_L_DownRight";"default";"approved";"544.25";"349.43";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"3";"69";"con_L_DownRight";"default";"approved";"487.56";"338.09";"1192.0";"871.0";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"4";"78";"con_L_DownRight";"default";"approved";"396.85";"666.91";"1192.0";"871.0";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"5";"78";"con_L_DownRight";"default";"approved";"464.88";"304.07";"1192.0";"871.0";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"6";"79";"con_L_DownRight";"default";"approved";"396.85";"666.91";"1192.0";"871.0";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
"7";"79";"con_L_DownRight";"default";"approved";"464.88";"304.07";"1192.0";"871.0";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
