"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"49";"contact_power_3";"A";"approved";"215.44";"236.03";"1192.0";"871.0";"";"5";"6";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"2";"49";"contact_power_3";"A";"approved";"374.18";"236.03";"1192.0";"871.0";"";"5";"6";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"3";"49";"contact_power_3";"A";"approved";"215.44";"326.74";"1192.0";"871.0";"";"5";"6";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"4";"49";"contact_power_3";"A";"approved";"374.18";"326.74";"1192.0";"871.0";"";"5";"6";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"5";"50";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"6";"50";"contact_power_3";"A";"approved";"351.51";"338.08";"1192.0";"871.0";"";"5";"6";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"7";"51";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"8";"51";"contact_power_3";"A";"approved";"351.51";"338.08";"1192.0";"871.0";"";"5";"6";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"9";"52";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0"
"10";"53";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1"
"11";"54";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10"
"12";"55";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11"
"13";"56";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"14";"57";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14"
"15";"58";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15"
"16";"59";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16"
"17";"60";"contact_power_3";"A";"approved";"215.44";"236.03";"1192.0";"871.0";"";"5";"6";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"18";"60";"contact_power_3";"A";"approved";"374.18";"236.03";"1192.0";"871.0";"";"5";"6";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"19";"60";"contact_power_3";"A";"approved";"215.44";"326.74";"1192.0";"871.0";"";"5";"6";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"20";"60";"contact_power_3";"A";"approved";"374.18";"326.74";"1192.0";"871.0";"";"5";"6";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"21";"62";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"22";"62";"contact_power_3";"A";"approved";"430.88";"338.08";"1192.0";"871.0";"";"5";"6";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"23";"63";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"24";"64";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"55";"26";"= 418";"+ 400A";"forming machine D";"slow disk rolls";"418M21"
"25";"65";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"56";"26";"= 418";"+ 400A";"forming machine D";"transport belt";"418M22"
"26";"66";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"57";"26";"= 418";"+ 400A";"forming machine D";"left longitudinal screw conveyor";"418M23"
"27";"67";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"58";"26";"= 418";"+ 400A";"forming machine D";"right longitudinal screw conveyor";"418M24"
"28";"68";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"59";"26";"= 418";"+ 400A";"forming machine D";"cleaning brush transport belt";"418M26"
"29";"69";"contact_power_3";"A";"approved";"215.44";"372.1";"1192.0";"871.0";"";"5";"6";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"30";"69";"contact_power_3";"A";"approved";"374.18";"372.1";"1192.0";"871.0";"";"5";"6";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"31";"69";"contact_power_3";"A";"approved";"532.92";"372.1";"1192.0";"871.0";"";"5";"6";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"32";"71";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"59c";"26";"= 418";"+ 400A";"";"TEXPAN filter rotary valve";"418M2"
"33";"72";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"59d";"26";"= 418";"+ 400A";"";"TEXPAN filter screw conveyor";"418M3"
"34";"73";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"61";"26";"= 418";"+ 400A";"forming machine D";"transversal screw conveyor belt";"418M30"
"35";"74";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"62";"26";"= 418";"+ 400A";"forming machine D";"injection screw";"418M31"
"36";"75";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"63";"26";"= 418";"+ 400A";"forming machine D";"recycling conveyor";"418M32"
"37";"76";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"81";"26";"= 418";"+ 400A";"forming machine D";"recycling screw conveyor";"418M33"
"38";"77";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"39";"77";"contact_power_3";"A";"approved";"374.18";"338.08";"1192.0";"871.0";"";"5";"6";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"40";"78";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"41";"79";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
