"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"pin_4";"pin_5";"pin_6";"linl";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"77";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+420LD01
-Q0111";"1";"2";"3";"4";"5";"6";"==20.9400.201/141.7";"7537/2-302
25A";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"2";"78";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+420LD03
-Q0311";"1";"2";"3";"4";"5";"6";"==20.9400.201/148.8";"7537/2-302
25A";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"3";"79";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+420LD04
-Q0411";"1";"2";"3";"4";"5";"6";"==20.9400.201/149.8";"7537/2-302
25A";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
"4";"80";"Q_serv";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"+420LD09
-Q0911";"1";"2";"3";"4";"5";"6";"==20.9400.201/150.8";"7537/2-303
32A";"67";"5";"= 420";"+ 400A";"forming line";"HP - pump";"420M9"
