"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Page";"Sheets";"=";"+";"txt_1";"txt_2";"txt_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"49";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"2";"50";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"3";"51";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"4";"52";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0"
"5";"53";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1"
"6";"54";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10"
"7";"55";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11"
"8";"56";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"9";"57";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14"
"10";"58";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15"
"11";"59";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16"
"12";"60";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"13";"61";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"14";"62";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"15";"63";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"16";"64";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"55";"26";"= 418";"+ 400A";"forming machine D";"slow disk rolls";"418M21";"55";"26";"= 418";"+ 400A";"forming machine D";"slow disk rolls";"418M21"
"17";"65";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"56";"26";"= 418";"+ 400A";"forming machine D";"transport belt";"418M22";"56";"26";"= 418";"+ 400A";"forming machine D";"transport belt";"418M22"
"18";"66";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"57";"26";"= 418";"+ 400A";"forming machine D";"left longitudinal screw conveyor";"418M23";"57";"26";"= 418";"+ 400A";"forming machine D";"left longitudinal screw conveyor";"418M23"
"19";"67";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"58";"26";"= 418";"+ 400A";"forming machine D";"right longitudinal screw conveyor";"418M24";"58";"26";"= 418";"+ 400A";"forming machine D";"right longitudinal screw conveyor";"418M24"
"20";"68";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"59";"26";"= 418";"+ 400A";"forming machine D";"cleaning brush transport belt";"418M26";"59";"26";"= 418";"+ 400A";"forming machine D";"cleaning brush transport belt";"418M26"
"21";"69";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"22";"70";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"23";"71";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"59c";"26";"= 418";"+ 400A";"";"TEXPAN filter rotary valve";"418M2";"59c";"26";"= 418";"+ 400A";"";"TEXPAN filter rotary valve";"418M2"
"24";"72";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"59d";"26";"= 418";"+ 400A";"";"TEXPAN filter screw conveyor";"418M3";"59d";"26";"= 418";"+ 400A";"";"TEXPAN filter screw conveyor";"418M3"
"25";"73";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"61";"26";"= 418";"+ 400A";"forming machine D";"transversal screw conveyor belt";"418M30";"61";"26";"= 418";"+ 400A";"forming machine D";"transversal screw conveyor belt";"418M30"
"26";"74";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"62";"26";"= 418";"+ 400A";"forming machine D";"injection screw";"418M31";"62";"26";"= 418";"+ 400A";"forming machine D";"injection screw";"418M31"
"27";"75";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"63";"26";"= 418";"+ 400A";"forming machine D";"recycling conveyor";"418M32";"63";"26";"= 418";"+ 400A";"forming machine D";"recycling conveyor";"418M32"
"28";"76";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"81";"26";"= 418";"+ 400A";"forming machine D";"recycling screw conveyor";"418M33";"81";"26";"= 418";"+ 400A";"forming machine D";"recycling screw conveyor";"418M33"
"29";"77";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"30";"78";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"31";"79";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
"32";"80";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"67";"5";"= 420";"+ 400A";"forming line";"HP - pump";"420M9";"67";"5";"= 420";"+ 400A";"forming line";"HP - pump";"420M9"
