"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"77";"55";"PE_UD";"A";"approved";"1162.2";"236.04";"1192.0";"871.0";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"78";"55";"PE_UD";"A";"approved";"776.69";"270.06";"1192.0";"871.0";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"79";"56";"PE_UD";"A";"approved";"311.81";"133.99";"1192.0";"871.0";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"80";"59";"PE_UD";"A";"approved";"90.71";"638.56";"1192.0";"871.0";"PE";"15";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"81";"59";"PE_UD";"A";"approved";"147.4";"638.56";"1192.0";"871.0";"PE";"15";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"82";"64";"PE_UD";"A";"approved";"90.71";"638.56";"1192.0";"871.0";"PE";"16";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"83";"64";"PE_UD";"A";"approved";"147.4";"638.56";"1192.0";"871.0";"PE";"16";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"84";"71";"PE_UD";"A";"approved";"90.71";"638.56";"1192.0";"871.0";"PE";"17";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"85";"71";"PE_UD";"A";"approved";"147.4";"638.56";"1192.0";"871.0";"PE";"17";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"86";"71";"PE_UD";"A";"pending";"90.71";"553.52";"1192.0";"871.0";"";"17";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"87";"81";"PE_UD";"A";"approved";"90.71";"638.56";"1192.0";"871.0";"PE";"19";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"88";"81";"PE_UD";"A";"approved";"147.4";"638.56";"1192.0";"871.0";"PE";"19";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"89";"81";"PE_UD";"A";"pending";"90.71";"553.52";"1192.0";"871.0";"";"19";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"90";"88";"PE_UD";"A";"approved";"90.71";"638.56";"1192.0";"871.0";"PE";"20";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"91";"88";"PE_UD";"A";"approved";"147.4";"638.56";"1192.0";"871.0";"PE";"20";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"92";"88";"PE_UD";"A";"pending";"90.71";"553.52";"1192.0";"871.0";"";"20";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"93";"97";"PE_UD";"A";"approved";"538.58";"304.07";"1192.0";"871.0";"";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
