"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"33";"47";"BusBar_Con_Down";"A";"approved";"646.3";"613.05";"1192.0";"871.0";"-PE";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"34";"47";"BusBar_Con_Down";"A";"approved";"861.73";"613.05";"1192.0";"871.0";"-PE";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"35";"48";"BusBar_Con_Down";"A";"approved";"385.51";"613.05";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"36";"48";"BusBar_Con_Down";"A";"approved";"1122.52";"613.05";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"37";"48";"BusBar_Con_Down";"A";"approved";"793.7";"216.2";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"38";"48";"BusBar_Con_Down";"A";"approved";"1122.52";"216.2";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"39";"48";"BusBar_Con_Down";"A";"approved";"646.3";"613.05";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"40";"48";"BusBar_Con_Down";"A";"approved";"861.73";"613.05";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"41";"49";"BusBar_Con_Down";"A";"approved";"442.2";"545.02";"1192.0";"871.0";"-PE";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"42";"54";"BusBar_Con_Down";"A";"approved";"215.43";"272.89";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"43";"54";"BusBar_Con_Down";"A";"approved";"215.43";"454.31";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"44";"54";"BusBar_Con_Down";"A";"approved";"215.43";"635.72";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"45";"54";"BusBar_Con_Down";"A";"approved";"419.53";"635.72";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"46";"54";"BusBar_Con_Down";"A";"approved";"419.53";"454.31";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"47";"54";"BusBar_Con_Down";"A";"approved";"419.53";"272.89";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"48";"54";"BusBar_Con_Down";"A";"approved";"419.53";"91.47";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"49";"54";"BusBar_Con_Down";"A";"approved";"623.62";"272.89";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"50";"54";"BusBar_Con_Down";"A";"approved";"623.62";"454.31";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"51";"54";"BusBar_Con_Down";"A";"approved";"623.62";"635.72";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"52";"54";"BusBar_Con_Down";"A";"approved";"623.62";"91.47";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"53";"54";"BusBar_Con_Down";"A";"approved";"827.72";"635.72";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"54";"54";"BusBar_Con_Down";"A";"approved";"827.72";"454.31";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"55";"54";"BusBar_Con_Down";"A";"approved";"827.72";"272.89";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"56";"54";"BusBar_Con_Down";"A";"approved";"827.72";"91.47";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"57";"54";"BusBar_Con_Down";"A";"approved";"1043.15";"272.89";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"58";"54";"BusBar_Con_Down";"A";"approved";"1043.15";"91.47";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"59";"54";"BusBar_Con_Down";"A";"approved";"1043.15";"635.72";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"60";"54";"BusBar_Con_Down";"A";"approved";"1043.15";"454.31";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"61";"54";"BusBar_Con_Down";"A";"approved";"215.43";"80.13";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"62";"55";"BusBar_Con_Down";"A";"approved";"215.43";"272.89";"1192.0";"871.0";"-PE";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"63";"55";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"-PE";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"64";"55";"BusBar_Con_Down";"A";"approved";"215.43";"454.31";"1192.0";"871.0";"-PE";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"65";"55";"BusBar_Con_Down";"A";"approved";"215.43";"635.72";"1192.0";"871.0";"-PE";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"66";"55";"BusBar_Con_Down";"A";"approved";"419.53";"635.72";"1192.0";"871.0";"-PE";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"67";"55";"BusBar_Con_Down";"A";"approved";"419.53";"465.65";"1192.0";"871.0";"-PE";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"68";"55";"BusBar_Con_Down";"A";"approved";"430.87";"272.89";"1192.0";"871.0";"-PE";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"69";"55";"BusBar_Con_Down";"A";"approved";"430.87";"91.47";"1192.0";"871.0";"-PE";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"70";"56";"BusBar_Con_Down";"A";"approved";"294.8";"136.83";"1192.0";"871.0";"-PE";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
