"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"34";"38";"contact_power_3";"A";"pending";"374.18";"326.74";"1192.0";"871.0";"";"5";"6";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"35";"40";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"36";"41";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"32";"17";"= 413";"+ 400A";"forming machine B";"slow disk rolls";"413M21"
"37";"42";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"33";"17";"= 413";"+ 400A";"forming machine B";"transport belt";"413M22"
"38";"43";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"34";"17";"= 413";"+ 400A";"forming machine B";"left longitudinal screw conveyor";"413M23"
"39";"44";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"35";"17";"= 413";"+ 400A";"forming machine B";"right longitudinal screw conveyor";"413M24"
"40";"45";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"36";"17";"= 413";"+ 400A";"forming machine B";"cleaning brush transport belt";"413M26"
"41";"46";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"38";"17";"= 413";"+ 400A";"forming machine B";"transversal screw conveyor belt";"413M30"
"42";"47";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"39";"17";"= 413";"+ 400A";"forming machine B";"injection screw";"413M31"
"43";"48";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"40";"17";"= 413";"+ 400A";"forming machine B";"recycling conveyor";"413M32"
"44";"49";"contact_power_3";"A";"pending";"215.44";"236.03";"1192.0";"871.0";"";"5";"6";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"45";"49";"contact_power_3";"A";"pending";"374.18";"236.03";"1192.0";"871.0";"";"5";"6";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"46";"49";"contact_power_3";"A";"pending";"215.44";"326.74";"1192.0";"871.0";"";"5";"6";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"47";"49";"contact_power_3";"A";"pending";"374.18";"326.74";"1192.0";"871.0";"";"5";"6";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"48";"50";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"49";"50";"contact_power_3";"A";"pending";"351.51";"338.08";"1192.0";"871.0";"";"5";"6";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"50";"51";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"51";"51";"contact_power_3";"A";"pending";"351.51";"338.08";"1192.0";"871.0";"";"5";"6";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"52";"52";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0"
"53";"53";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1"
"54";"54";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10"
