"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"39";"19";"con_L_LeftDown";"default";"approved";"771.02";"88.64";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"40";"19";"con_L_LeftDown";"default";"approved";"816.38";"111.31";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"41";"19";"con_L_LeftDown";"default";"approved";"498.9";"88.64";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"42";"19";"con_L_LeftDown";"default";"approved";"521.57";"111.31";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"43";"20";"con_L_LeftDown";"default";"approved";"975.12";"77.3";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"44";"21";"con_L_LeftDown";"default";"approved";"839.06";"576.2";"1192.0";"871.0";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"45";"21";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"46";"22";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"47";"22";"con_L_LeftDown";"default";"approved";"362.83";"247.38";"1192.0";"871.0";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"48";"22";"con_L_LeftDown";"default";"approved";"408.19";"270.06";"1192.0";"871.0";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"49";"23";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"16";"23";"= 411";"+ 400A";"forming machine A";"slow disk rolls";"411M21"
"50";"24";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"17";"23";"= 411";"+ 400A";"forming machine A";"disk screen transport belt";"411M22"
"51";"25";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"18";"23";"= 411";"+ 400A";"forming machine A";"left longitudinal screw conveyor";"411M23"
"52";"26";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"19";"23";"= 411";"+ 400A";"forming machine A";"right longitudinal screw conveyor";"411M24"
"53";"27";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26"
"54";"28";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"22";"23";"= 411";"+ 400A";"forming machine A";"transversal screw conveyor";"411M30"
"55";"29";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"23";"23";"= 411";"+ 400A";"forming machine A";"injection screw";"411M31"
"56";"30";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"24";"23";"= 411";"+ 400A";"forming machine A";"recycling conveyor";"411M32"
"57";"31";"con_L_LeftDown";"default";"pending";"884.41";"77.3";"1192.0";"871.0";"24a";"23";"= 411";"+ 400A";"forming machine A";"screw ???";"411M33"
"58";"32";"con_L_LeftDown";"default";"pending";"737.01";"77.3";"1192.0";"871.0";"24b";"23";"= 411";"+ 400A";"forming machine A";"vibrator outside";"411M34"
"59";"33";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"25";"17";"= 413";"+ 400A";"forming machine B";"dosing belt cleaning brush";"413M10"
"60";"34";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"26";"17";"= 413";"+ 400A";"forming machine B";"rotary combs";"413M11"
"61";"35";"con_L_LeftDown";"default";"pending";"362.83";"247.38";"1192.0";"871.0";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"62";"35";"con_L_LeftDown";"default";"pending";"408.19";"270.06";"1192.0";"871.0";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"63";"35";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"64";"36";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"28";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt left";"413M15"
"65";"37";"con_L_LeftDown";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"29";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt right";"413M16"
"66";"38";"con_L_LeftDown";"default";"pending";"374.17";"202.02";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"67";"38";"con_L_LeftDown";"default";"pending";"351.5";"190.68";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"68";"38";"con_L_LeftDown";"default";"pending";"328.82";"179.35";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"69";"38";"con_L_LeftDown";"default";"pending";"566.93";"349.43";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"70";"38";"con_L_LeftDown";"default";"pending";"498.9";"88.64";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"71";"38";"con_L_LeftDown";"default";"pending";"521.57";"111.31";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"72";"38";"con_L_LeftDown";"default";"pending";"771.02";"88.64";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"73";"38";"con_L_LeftDown";"default";"pending";"816.38";"111.31";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"74";"39";"con_L_LeftDown";"default";"pending";"975.12";"77.3";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"75";"40";"con_L_LeftDown";"default";"pending";"362.83";"247.38";"1192.0";"871.0";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
