"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"plc";"txt_1";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"22";"72";"S7-400-DI";"A";"approved";"340.16";"179.35";"1192.0";"871.0";"-EG1.2/2";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.1";"17a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"23";"72";"S7-400-DI";"A";"approved";"623.62";"179.35";"1192.0";"871.0";"-EG1.2/3";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/17.1";"17a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"24";"73";"S7-400-DI";"A";"approved";"362.83";"179.35";"1192.0";"871.0";"-EG1.2/6";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.3";"17b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"25";"73";"S7-400-DI";"A";"approved";"929.76";"179.35";"1192.0";"871.0";"-EG1.2/8";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.4";"17b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"26";"73";"S7-400-DI";"A";"approved";"646.3";"179.35";"1192.0";"871.0";"-EG1.2/7";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.3";"17b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"27";"74";"S7-400-DI";"A";"approved";"79.37";"179.35";"1192.0";"871.0";"-EG1.2/9";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.4";"17c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"28";"74";"S7-400-DI";"A";"approved";"646.3";"179.35";"1192.0";"871.0";"-EG1.2/11";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.5";"17c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"29";"74";"S7-400-DI";"A";"approved";"362.83";"179.35";"1192.0";"871.0";"-EG1.2/10";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.5";"17c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"30";"74";"S7-400-DI";"A";"approved";"929.76";"179.35";"1192.0";"871.0";"-EG1.2/12";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.6";"17c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"31";"75";"S7-400-DI";"A";"approved";"79.37";"179.35";"1192.0";"871.0";"-EG1.2/13";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.6";"17d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"32";"75";"S7-400-DI";"A";"approved";"646.3";"179.35";"1192.0";"871.0";"-EG1.2/15";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.7";"17d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"33";"75";"S7-400-DI";"A";"approved";"362.83";"179.35";"1192.0";"871.0";"-EG1.2/14";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.7";"17d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"34";"75";"S7-400-DI";"A";"approved";"929.76";"179.35";"1192.0";"871.0";"-EG1.2/16";"PLC-I";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/17.8";"17d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"35";"76";"S7-400-DI";"A";"approved";"79.37";"179.35";"1192.0";"871.0";"-EG1.2/17";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/17.8";"17e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"36";"82";"S7-400-DI";"A";"approved";"340.16";"179.35";"1192.0";"871.0";"-EG2.1/2";"PLC-II";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/19.1";"19a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"37";"82";"S7-400-DI";"A";"approved";"623.62";"179.35";"1192.0";"871.0";"-EG2.1/3";"PLC-II";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/19.1";"19a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"38";"82";"S7-400-DI";"A";"approved";"907.09";"179.35";"1192.0";"871.0";"-EG2.1/4";"PLC-II";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/19.2";"19a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"39";"83";"S7-400-DI";"A";"approved";"340.16";"179.35";"1192.0";"871.0";"-EG2.1/6";"PLC-II";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/19.3";"19b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"40";"83";"S7-400-DI";"A";"approved";"623.62";"179.35";"1192.0";"871.0";"-EG2.1/7";"PLC-II";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/19.3";"19b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"41";"83";"S7-400-DI";"A";"approved";"907.09";"179.35";"1192.0";"871.0";"-EG2.1/8";"PLC-II";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/19.4";"19b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"42";"84";"S7-400-DI";"A";"approved";"340.16";"179.35";"1192.0";"871.0";"-EG2.1/10";"PLC-II";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/19.5";"19c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"43";"85";"S7-400-DI";"A";"approved";"68.03";"179.35";"1192.0";"871.0";"-EG2.1/13";"PLC-II";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/19.6";"19d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"44";"90";"S7-400-DI";"A";"approved";"68.03";"179.35";"1192.0";"871.0";"-EG2.2/5";"PLC-II";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/20.2";"20b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"45";"90";"S7-400-DI";"A";"approved";"351.5";"179.35";"1192.0";"871.0";"-EG2.2/6";"PLC-II";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/20.3";"20b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"46";"90";"S7-400-DI";"A";"approved";"918.43";"179.35";"1192.0";"871.0";"-EG2.2/8";"PLC-II";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/20.4";"20b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"47";"91";"S7-400-DI";"A";"approved";"907.09";"179.35";"1192.0";"871.0";"-EG2.2/12";"PLC-II";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/20.6";"20c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"48";"92";"S7-400-DI";"A";"approved";"68.03";"179.35";"1192.0";"871.0";"-EG2.2/13";"PLC-II";"6ES7422-1BL00-0AA0
6EZ2041-8UG07-0AU36";"/20.6";"20d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
