"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"29";"30";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"542.18";"1192.0";"871.0";"";"spare";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"30";"30";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"655.57";"1192.0";"871.0";"";"spare";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"31";"31";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"32";"31";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"33";"31";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"34";"31";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"35";"31";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"542.18";"1192.0";"871.0";"";"L5-";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"36";"31";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"655.57";"1192.0";"871.0";"";"L5-";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"37";"31";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"542.18";"1192.0";"871.0";"";"L5.11+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"38";"31";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"655.57";"1192.0";"871.0";"";"L5.11+";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"39";"31";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"542.18";"1192.0";"871.0";"";"spare";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"40";"31";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"655.57";"1192.0";"871.0";"";"spare";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"41";"32";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"542.18";"1192.0";"871.0";"";"L5-1";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"42";"32";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"374.17";"542.18";"1192.0";"871.0";"";"L3-1";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"43";"32";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"442.2";"542.18";"1192.0";"871.0";"";"L5.12+";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"44";"32";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"283.46";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"45";"32";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"374.17";"655.57";"1192.0";"871.0";"";"L3-1";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"46";"32";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"442.2";"655.57";"1192.0";"871.0";"";"L5.12+";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"47";"32";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"655.57";"1192.0";"871.0";"";"L5-1";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"48";"32";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"283.46";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"49";"33";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"226.77";"474.15";"1192.0";"871.0";"";"L3.10+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"50";"33";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"226.77";"587.54";"1192.0";"871.0";"";"L3.10+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"51";"33";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"317.48";"474.15";"1192.0";"871.0";"";"L3.20+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"52";"33";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"317.48";"587.54";"1192.0";"871.0";"";"L3.20+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"53";"33";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"408.19";"474.15";"1192.0";"871.0";"";"L5-";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"54";"33";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"408.19";"587.54";"1192.0";"871.0";"";"L5-";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
