"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"pin_4";"pin_5";"pin_6";"link";"txt_1";"txt_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"2";"AZD_H_11";"A";"approved";"136.07";"406.12";"1192.0";"871.0";"-Q00";"1";"2";"3";"4";"5";"6";"";"NZM6-63";"ZM6-63";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"2";"3";"AZD_H_11";"A";"approved";"192.76";"236.04";"1192.0";"871.0";"-Q01";"1";"2";"3";"4";"5";"6";"";"3VU1300-";"1ML00
18-25A";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"3";"6";"AZD_H_11";"A";"approved";"215.44";"168.01";"1192.0";"871.0";"-Q1";"1";"2";"3";"4";"5";"6";"";"3VU1300-";"1ML00
10-16A";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"4";"10";"AZD_H_11";"A";"approved";"215.44";"168.01";"1192.0";"871.0";"-Q2";"1";"2";"3";"4";"5";"6";"";"3VU1300- 1ML00";"18-25A b=18A";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"5";"16";"AZD_H_11";"A";"approved";"215.44";"133.99";"1192.0";"871.0";"-Q3";"1";"2";"3";"4";"5";"6";"";"3VU1300- 1ML00";"18-25A b=18A";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"6";"23";"AZD_H_11";"A";"approved";"215.44";"133.99";"1192.0";"871.0";"-Q4";"1";"2";"3";"4";"5";"6";"/6b.2";"3VU1300- 1ML00";"18-25A b=18A";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"7";"27";"AZD_H_11";"A";"approved";"215.44";"133.99";"1192.0";"871.0";"-Q5";"1";"2";"3";"4";"5";"6";"";"3VU1300-";"1ML00
6-10A";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"8";"50";"AZD_H_11";"A";"approved";"215.44";"168.01";"1192.0";"871.0";"-Q6";"1";"2";"3";"4";"5";"6";"/22.4";"3VU1300-";"1ML00
6-10A";"8";"104";"= 400";"+ 400SPS";"magnetc belt adjustment";"control voltage 0-24VDC";""
"9";"52";"AZD_H_11";"A";"approved";"215.44";"168.01";"1192.0";"871.0";"-Q7";"1";"2";"3";"4";"5";"6";"";"3VU1300-";"1ML00
18-25A";"9";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
