"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"29";"18";"SF_1P_link";"variant_0";"approved";"374.17";"474.15";"1192.0";"871.0";"-F3.23";"2";"1";"/5a.8";"6A";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"30";"18";"SF_1P_link";"variant_0";"approved";"487.56";"474.15";"1192.0";"871.0";"-F3.24";"2";"1";"/5a.9";"6A";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"31";"18";"SF_1P_link";"variant_0";"approved";"600.94";"474.15";"1192.0";"871.0";"-F3.25";"2";"1";"/5a.9";"6A";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"32";"18";"SF_1P_link";"variant_0";"approved";"714.33";"474.15";"1192.0";"871.0";"-F3.26";"2";"1";"/5a.9";"6A";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"33";"18";"SF_1P_link";"variant_0";"approved";"827.72";"474.15";"1192.0";"871.0";"-F3.27";"2";"1";"/5a.9";"6A";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"34";"18";"SF_1P_link";"variant_0";"approved";"941.1";"474.15";"1192.0";"871.0";"-F3.28";"2";"1";"/5a.9";"6A";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"35";"18";"SF_1P_link";"variant_0";"approved";"1054.49";"474.15";"1192.0";"871.0";"-F3.29";"2";"1";"/5a.9";"6A";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"36";"19";"SF_1P_link";"variant_0";"approved";"226.77";"474.15";"1192.0";"871.0";"-FXK2";"2";"1";"/5a.9";"4A";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"37";"19";"SF_1P_link";"variant_0";"approved";"340.16";"474.15";"1192.0";"871.0";"-FXK3";"2";"1";"/5a.9";"2A";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"38";"19";"SF_1P_link";"variant_0";"approved";"453.54";"474.15";"1192.0";"871.0";"-FXK4";"2";"1";"/5a.9";"2A";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"39";"19";"SF_1P_link";"variant_0";"approved";"113.39";"474.15";"1192.0";"871.0";"-FXK1";"2";"1";"/5a.9";"2A";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"40";"19";"SF_1P_link";"variant_0";"approved";"566.93";"474.15";"1192.0";"871.0";"-FXK5";"2";"1";"/5a.9";"2A";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"41";"19";"SF_1P_link";"variant_0";"approved";"680.32";"474.15";"1192.0";"871.0";"-FXK6";"2";"1";"/5a.9";"2A";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"42";"23";"SF_1P_link";"variant_0";"approved";"453.54";"474.15";"1192.0";"871.0";"-F4.11";"2";"1";"/6b.2";"10A";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"43";"23";"SF_1P_link";"variant_0";"approved";"566.93";"474.15";"1192.0";"871.0";"-F4.12";"2";"1";"/6b.2";"10A";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"44";"23";"SF_1P_link";"variant_0";"approved";"680.32";"474.15";"1192.0";"871.0";"-F4.13";"2";"1";"/6b.2";"10A";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"45";"23";"SF_1P_link";"variant_0";"approved";"793.7";"474.15";"1192.0";"871.0";"-F4.14";"2";"1";"/6b.2";"10A";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"46";"23";"SF_1P_link";"variant_0";"approved";"907.09";"474.15";"1192.0";"871.0";"-F4.15";"2";"1";"/6b.2";"10A";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"47";"23";"SF_1P_link";"variant_0";"approved";"1020.47";"474.15";"1192.0";"871.0";"-F4.16";"2";"1";"/6b.2";"10A";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"48";"23";"SF_1P_link";"variant_0";"approved";"351.5";"474.15";"1192.0";"871.0";"-F4.10";"2";"1";"/6b.2";"10A";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"49";"24";"SF_1P_link";"variant_0";"approved";"113.39";"474.15";"1192.0";"871.0";"-F4.17";"2";"1";"/6b.2";"10A";"6a";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"50";"24";"SF_1P_link";"variant_0";"approved";"226.77";"474.15";"1192.0";"871.0";"-F4.18";"2";"1";"/6b.2";"10A";"6a";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"51";"24";"SF_1P_link";"variant_0";"approved";"340.16";"474.15";"1192.0";"871.0";"-F4.19";"2";"1";"/6b.2";"10A";"6a";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"52";"24";"SF_1P_link";"variant_0";"approved";"453.54";"474.15";"1192.0";"871.0";"-F4.20";"2";"1";"/6b.2";"10A";"6a";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"53";"50";"SF_1P_link";"variant_0";"approved";"317.48";"451.47";"1192.0";"871.0";"-F6.10";"2";"1";"/22.4";"6A";"8";"104";"= 400";"+ 400SPS";"magnetc belt adjustment";"control voltage 0-24VDC";""
