"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"2";"contact_signal_NO_1";"A";"approved";"268.2";"406.12";"1192.0";"871.0";"15 11 13";"17";"18";"16 12 14";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"2";"7";"contact_signal_NO_1";"A";"approved";"260.8";"179.34";"1192.0";"871.0";"-F11";"23";"24";"/2.4";"2a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"3";"7";"contact_signal_NO_1";"A";"approved";"260.8";"224.69";"1192.0";"871.0";"-F12";"24";"23";"/2.5";"2a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"4";"7";"contact_signal_NO_1";"A";"approved";"260.8";"270.05";"1192.0";"871.0";"-F13";"23";"24";"/2.6";"2a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"5";"7";"contact_signal_NO_1";"A";"approved";"260.8";"315.4";"1192.0";"871.0";"-F14";"24";"23";"/2.7";"2a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"6";"7";"contact_signal_NO_1";"A";"approved";"260.8";"360.76";"1192.0";"871.0";"-F15";"23";"24";"/2.8";"2a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"7";"10";"contact_signal_NO_1";"A";"approved";"975.13";"598.87";"1192.0";"871.0";"=428 -K11H";"23";"24";"/5a.7";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"8";"12";"contact_signal_NO_1";"A";"approved";"260.8";"122.65";"1192.0";"871.0";"-F2.1";"23";"24";"/3.2";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"9";"12";"contact_signal_NO_1";"A";"approved";"260.8";"168.0";"1192.0";"871.0";"-F2.11";"24";"23";"/3.2";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"10";"12";"contact_signal_NO_1";"A";"approved";"260.8";"213.36";"1192.0";"871.0";"-F2.12";"23";"24";"/3.3";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"11";"12";"contact_signal_NO_1";"A";"approved";"260.8";"258.71";"1192.0";"871.0";"-F2.13";"24";"23";"/3.4";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"12";"12";"contact_signal_NO_1";"A";"approved";"260.8";"304.06";"1192.0";"871.0";"-F2.14";"23";"24";"/3.5";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"13";"12";"contact_signal_NO_1";"A";"approved";"260.8";"349.42";"1192.0";"871.0";"-F2.15";"24";"23";"/3.6";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"14";"12";"contact_signal_NO_1";"A";"approved";"260.8";"394.77";"1192.0";"871.0";"-F2.16";"23";"24";"/3.7";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"15";"12";"contact_signal_NO_1";"A";"approved";"260.8";"440.13";"1192.0";"871.0";"-F2.17";"24";"23";"/3.9";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"16";"12";"contact_signal_NO_1";"A";"approved";"260.8";"485.48";"1192.0";"871.0";"-F2.18";"23";"24";"/3a.2";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
