"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"40";"X_Rozbirna";"A";"approved";"192.76";"621.55";"1192.0";"871.0";"427TK1 -XTK4";"L3";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"2";"40";"X_Rozbirna";"A";"approved";"623.62";"621.55";"1192.0";"871.0";"";"P";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"3";"40";"X_Rozbirna";"A";"approved";"272.13";"621.55";"1192.0";"871.0";"";"L3";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"4";"40";"X_Rozbirna";"A";"approved";"362.83";"621.55";"1192.0";"871.0";"";"L3";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"5";"40";"X_Rozbirna";"A";"approved";"453.54";"621.55";"1192.0";"871.0";"";"L5";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"6";"40";"X_Rozbirna";"A";"approved";"532.91";"621.55";"1192.0";"871.0";"";"L5";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"7";"97";"X_Rozbirna";"A";"approved";"260.79";"306.91";"1192.0";"871.0";"-XV";"29 7";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"8";"97";"X_Rozbirna";"A";"approved";"600.94";"329.58";"1192.0";"871.0";"-XV";"7";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
