"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"29";"54";"X_Simple_UpDown";"A";"approved";"215.43";"689.58";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"30";"54";"X_Simple_UpDown";"A";"approved";"385.51";"632.89";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"31";"54";"X_Simple_UpDown";"A";"approved";"419.52";"689.58";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"32";"54";"X_Simple_UpDown";"A";"approved";"385.51";"451.47";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"33";"54";"X_Simple_UpDown";"A";"approved";"385.51";"508.17";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"34";"54";"X_Simple_UpDown";"A";"approved";"419.52";"508.17";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"35";"54";"X_Simple_UpDown";"A";"approved";"385.51";"270.06";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"36";"54";"X_Simple_UpDown";"A";"approved";"385.51";"326.75";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"37";"54";"X_Simple_UpDown";"A";"approved";"419.52";"326.75";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"38";"54";"X_Simple_UpDown";"A";"approved";"385.51";"88.64";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"39";"54";"X_Simple_UpDown";"A";"approved";"385.51";"145.33";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"40";"54";"X_Simple_UpDown";"A";"approved";"419.52";"145.33";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"41";"54";"X_Simple_UpDown";"A";"approved";"589.6";"270.06";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"42";"54";"X_Simple_UpDown";"A";"approved";"589.6";"326.75";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"43";"54";"X_Simple_UpDown";"A";"approved";"623.62";"326.75";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"44";"54";"X_Simple_UpDown";"A";"approved";"589.6";"451.47";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"45";"54";"X_Simple_UpDown";"A";"approved";"589.6";"508.17";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"46";"54";"X_Simple_UpDown";"A";"approved";"623.62";"508.17";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"47";"54";"X_Simple_UpDown";"A";"approved";"589.6";"632.89";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"48";"54";"X_Simple_UpDown";"A";"approved";"589.6";"88.64";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"49";"54";"X_Simple_UpDown";"A";"approved";"589.6";"145.33";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"50";"54";"X_Simple_UpDown";"A";"approved";"623.62";"145.33";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"51";"54";"X_Simple_UpDown";"A";"approved";"793.7";"632.89";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"52";"54";"X_Simple_UpDown";"A";"approved";"793.7";"451.47";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"53";"55";"X_Simple_UpDown";"A";"approved";"215.43";"508.17";"1192.0";"871.0";"";"PE";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"54";"55";"X_Simple_UpDown";"A";"approved";"385.51";"270.06";"1192.0";"871.0";"";"354";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"55";"55";"X_Simple_UpDown";"A";"approved";"419.52";"689.58";"1192.0";"871.0";"";"PE";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"56";"55";"X_Simple_UpDown";"A";"approved";"385.51";"88.64";"1192.0";"871.0";"";"4";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"57";"55";"X_Simple_UpDown";"A";"approved";"680.31";"88.64";"1192.0";"871.0";"";"3";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"58";"55";"X_Simple_UpDown";"A";"approved";"1054.48";"394.78";"1192.0";"871.0";"";"9";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"59";"55";"X_Simple_UpDown";"A";"approved";"1099.84";"394.78";"1192.0";"871.0";"";"11";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"60";"56";"X_Simple_UpDown";"A";"approved";"181.41";"133.99";"1192.0";"871.0";"=400-XP1";"4";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"61";"56";"X_Simple_UpDown";"A";"approved";"181.41";"213.36";"1192.0";"871.0";"+400CD1 -XP1";"4";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"62";"56";"X_Simple_UpDown";"A";"approved";"238.11";"133.99";"1192.0";"871.0";"";"9 10";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"63";"56";"X_Simple_UpDown";"A";"approved";"249.44";"133.99";"1192.0";"871.0";"";"1011";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"64";"56";"X_Simple_UpDown";"A";"approved";"260.78";"133.99";"1192.0";"871.0";"";"11";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"65";"56";"X_Simple_UpDown";"A";"approved";"181.41";"394.78";"1192.0";"871.0";"+400CD1 -XP1";"7";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"66";"70";"X_Simple_UpDown";"A";"approved";"260.78";"746.28";"1192.0";"871.0";"";"Q85.3";"";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"67";"70";"X_Simple_UpDown";"A";"approved";"396.85";"746.28";"1192.0";"871.0";"";"Q85.40";"";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"68";"70";"X_Simple_UpDown";"A";"approved";"532.91";"746.28";"1192.0";"871.0";"";"Q85.50";"";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"69";"77";"X_Simple_UpDown";"A";"approved";"260.78";"564.86";"1192.0";"871.0";"";"Q1.0";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"70";"77";"X_Simple_UpDown";"A";"approved";"396.85";"564.86";"1192.0";"871.0";"";"Q1.1";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"71";"77";"X_Simple_UpDown";"A";"approved";"532.91";"564.86";"1192.0";"871.0";"";"Q1.2";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"72";"77";"X_Simple_UpDown";"A";"approved";"668.97";"564.86";"1192.0";"871.0";"";"Q1.3";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"73";"77";"X_Simple_UpDown";"A";"approved";"805.04";"564.86";"1192.0";"871.0";"";"Q1.4";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"74";"77";"X_Simple_UpDown";"A";"approved";"941.1";"564.86";"1192.0";"871.0";"";"Q1.5";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"75";"77";"X_Simple_UpDown";"A";"approved";"1077.16";"564.86";"1192.0";"871.0";"";"Q1.6";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"76";"77";"X_Simple_UpDown";"A";"approved";"260.78";"746.28";"1192.0";"871.0";"";"Q2.6";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"77";"77";"X_Simple_UpDown";"A";"approved";"396.85";"746.28";"1192.0";"871.0";"";"Q2.7";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"78";"77";"X_Simple_UpDown";"A";"approved";"532.91";"746.28";"1192.0";"871.0";"";"Q3.0";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"79";"77";"X_Simple_UpDown";"A";"approved";"668.97";"746.28";"1192.0";"871.0";"";"Q3.1";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"80";"77";"X_Simple_UpDown";"A";"approved";"805.04";"746.28";"1192.0";"871.0";"";"Q3.2";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"81";"77";"X_Simple_UpDown";"A";"approved";"941.1";"746.28";"1192.0";"871.0";"";"Q3.3";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"82";"77";"X_Simple_UpDown";"A";"approved";"1077.16";"746.28";"1192.0";"871.0";"";"Q3.4";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"83";"78";"X_Simple_UpDown";"A";"approved";"260.78";"224.7";"1192.0";"871.0";"";"Q3.6";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"84";"78";"X_Simple_UpDown";"A";"approved";"396.85";"224.7";"1192.0";"871.0";"";"Q3.7";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"85";"78";"X_Simple_UpDown";"A";"approved";"532.91";"224.7";"1192.0";"871.0";"";"Q23.6";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"86";"78";"X_Simple_UpDown";"A";"approved";"668.97";"224.7";"1192.0";"871.0";"";"Q23.7";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"87";"78";"X_Simple_UpDown";"A";"approved";"805.04";"224.7";"1192.0";"871.0";"";"Q27.7";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"88";"78";"X_Simple_UpDown";"A";"approved";"941.1";"224.7";"1192.0";"871.0";"";"Q31.";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"89";"78";"X_Simple_UpDown";"A";"approved";"1077.16";"224.7";"1192.0";"871.0";"";"Q31.7";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"90";"78";"X_Simple_UpDown";"A";"approved";"260.78";"406.12";"1192.0";"871.0";"";"Q34.3";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"91";"78";"X_Simple_UpDown";"A";"approved";"396.85";"406.12";"1192.0";"871.0";"";"Q34.4";"klem";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
