"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"30";"22";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"632.89";"1192.0";"871.0";"";"L3.11+";"";"5d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"31";"22";"X_Simple_V_3_Left_SZ";"A";"approved";"238.11";"632.89";"1192.0";"871.0";"";"L3.10+";"";"5d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"32";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"542.18";"1192.0";"871.0";"";"L3-";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"33";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"655.57";"1192.0";"871.0";"";"L3-";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"34";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"35";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"36";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"37";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"38";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"542.18";"1192.0";"871.0";"";"L5-";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"39";"30";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"655.57";"1192.0";"871.0";"";"L5-";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
