"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"adr";"link";"plc";"Name";"var";"description";"pin";"ch";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"14";"77";"O_SPS";"C";"approved";"124.72";"712.26";"1192.0";"871.0";"A1.7";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"20";"CCHH 1155";"plc_DO";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"15";"77";"O_SPS";"C";"approved";"396.85";"712.26";"1192.0";"871.0";"A2.7";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"32";"CCHH 2233";"plc_DO";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"16";"77";"O_SPS";"C";"approved";"532.91";"712.26";"1192.0";"871.0";"A3.0";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"34";"CCHH 2244";"plc_DO";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"17";"77";"O_SPS";"C";"approved";"668.98";"712.26";"1192.0";"871.0";"A3.1";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"35";"CCHH 2255";"plc_DO";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"18";"77";"O_SPS";"C";"approved";"805.04";"712.26";"1192.0";"871.0";"A3.2";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"36";"CCHH 2266";"plc_DO";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"19";"77";"O_SPS";"C";"approved";"941.1";"712.26";"1192.0";"871.0";"A3.3";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"37";"CCHH 2277";"plc_DO";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"20";"77";"O_SPS";"C";"approved";"1077.17";"712.26";"1192.0";"871.0";"A3.4";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"38";"CCHH 2288";"plc_DO";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"21";"78";"O_SPS";"C";"approved";"260.79";"190.68";"1192.0";"871.0";"A3.6";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"40";"CCHH 3300";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"22";"78";"O_SPS";"C";"approved";"124.72";"190.68";"1192.0";"871.0";"A3.5";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"39";"CCHH 2299";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"23";"78";"O_SPS";"C";"approved";"396.85";"190.68";"1192.0";"871.0";"A3.7";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"41";"CCHH 3311";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"24";"78";"O_SPS";"C";"approved";"532.91";"190.68";"1192.0";"871.0";"A23.6";"/17b.3";"PLC-I";"-EG1.2/6";"Spare";"spare";"40";"CCHH 3300";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"25";"78";"O_SPS";"C";"approved";"668.98";"190.68";"1192.0";"871.0";"A23.7";"/17b.3";"PLC-I";"-EG1.2/6";"Spare";"spare";"41";"CCHH 3311";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"26";"78";"O_SPS";"C";"approved";"805.04";"190.68";"1192.0";"871.0";"A27.7";"/17b.5";"PLC-I";"-EG1.2/7";"Spare";"spare";"41";"CCHH 3311";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"27";"78";"O_SPS";"C";"approved";"941.1";"190.68";"1192.0";"871.0";"A31.6";"/17b.8";"PLC-I";"-EG1.2/8";"Spare";"spare";"40";"CCHH 3300";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
