"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"pin_4";"pin_5";"pin_6";"link";"txt_1";"txt_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"81";"AZD_H_11";"A";"approved";"170.08";"156.67";"1192.0";"871.0";"-Q15";"1";"2";"3";"4";"5";"6";"/68.6";"3VU1300";"1,6-2,4A
b=2,2A";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"2";"83";"AZD_H_11";"A";"approved";"170.08";"156.67";"1192.0";"871.0";"-Q2";"1";"2";"3";"4";"5";"6";"/70.6";"3VU1300";"1,6-2,4A
b=2,2A";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"3";"84";"AZD_H_11";"A";"approved";"170.08";"122.66";"1192.0";"871.0";"-Q3";"1";"2";"3";"4";"5";"6";"/71c.5";"3VU1300";"0,6-1A
b=0,65A";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"4";"85";"AZD_H_11";"A";"approved";"170.08";"122.66";"1192.0";"871.0";"-Q4";"1";"2";"3";"4";"5";"6";"/71c.4";"3VU1300";"0,6-1A
b=0,65A";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"5";"86";"AZD_H_11";"A";"approved";"170.08";"122.66";"1192.0";"871.0";"-Q5";"1";"2";"3";"4";"5";"6";"/71c.5";"3VU1300";"0,6-1A
b=0,65A";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"6";"88";"AZD_H_11";"A";"approved";"170.08";"122.66";"1192.0";"871.0";"-Q13";"1";"2";"3";"4";"5";"6";"/71d.6";"3VU1300";"0,6-1A
b=0,8A";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"7";"89";"AZD_H_11";"A";"approved";"170.08";"156.67";"1192.0";"871.0";"-Q1.1";"1";"2";"3";"4";"5";"6";"/72.6";"3VU1300";"6-10A
b=8,1A";"72";"29";"= 427";"+ 400A";"press hydraulics";"cooling and filtering pump";"427M1.1"
"8";"90";"AZD_H_11";"A";"approved";"170.08";"156.67";"1192.0";"871.0";"-Q1.2";"1";"2";"3";"4";"5";"6";"/73.6";"3VU1300";"6-10A
b=8,8A";"73";"29";"= 427";"+ 400A";"press hydraulics";"fan air cooling";"427M1.2"
"9";"91";"AZD_H_11";"A";"approved";"170.08";"156.67";"1192.0";"871.0";"-Q1.3";"1";"2";"3";"4";"5";"6";"/74.6";"3VU1300";"0,16-0,24A
b=0,3A";"74";"29";"= 427";"+ 400A";"press hydraulics";"close shut off valve 60";"spare"
"10";"93";"AZD_H_11";"A";"approved";"170.08";"156.67";"1192.0";"871.0";"-Q4";"1";"2";"3";"4";"5";"6";"/76a.7";"3VU1300";"4-6A
b=3,3A";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
