"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"124";"SF_1P";"variant_0";"approved";"226.77";"168.01";"1192.0";"871.0";"F01.3";"1";"2";"5SX2110-7 C10A";"5SX2110-7 C10A";"3";"21";"= 414";"+ 400H10";"forming machine C";"illumination & sockets";""
"2";"145";"SF_1P";"variant_0";"pending";"136.06";"508.17";"1192.0";"871.0";"-F1";"";"-";"";"6A";"763";"2";"= 763";"+ ???";"";"band spraying infeed";""
"3";"145";"SF_1P";"variant_0";"pending";"181.42";"508.17";"1192.0";"871.0";"-F2";"";"";"";"6A";"763";"2";"= 763";"+ ???";"";"band spraying infeed";""
"4";"146";"SF_1P";"variant_0";"approved";"476.22";"213.36";"1192.0";"871.0";"";"";"";"";"";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
"5";"146";"SF_1P";"variant_0";"approved";"430.87";"213.36";"1192.0";"871.0";"-F4";"";"";"";"2A";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
"6";"146";"SF_1P";"variant_0";"approved";"771.02";"213.36";"1192.0";"871.0";"";"";"";"";"";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
"7";"146";"SF_1P";"variant_0";"approved";"725.67";"213.36";"1192.0";"871.0";"-F5";"";"";"";"2A";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
"8";"146";"SF_1P";"variant_0";"approved";"156.47";"510.5";"0.0";"0.0";"-F3";"";"";"";"6A";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
"9";"146";"SF_1P";"variant_0";"approved";"202.18";"509.47";"0.0";"0.0";"";"";"";"";"";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
