"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"30";"111";"contact_signal_NC_1";"A";"approved";"873.08";"576.19";"1192.0";"871.0";"-K303.1M";"22";"21";"/91.6";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"31";"111";"contact_signal_NC_1";"A";"approved";"782.37";"576.19";"1192.0";"871.0";"-K303.2M";"22";"21";"/91.7";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"32";"111";"contact_signal_NC_1";"A";"approved";"1054.5";"576.19";"1192.0";"871.0";"-K303.3M";"22";"21";"/91.8";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"33";"111";"contact_signal_NC_1";"A";"approved";"963.79";"576.19";"1192.0";"871.0";"-K303.4M";"22";"21";"/91.8";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"34";"112";"contact_signal_NC_1";"A";"approved";"873.08";"576.19";"1192.0";"871.0";"-K304.1M";"22";"21";"/92.6";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"35";"112";"contact_signal_NC_1";"A";"approved";"782.37";"576.19";"1192.0";"871.0";"-K304.2M";"22";"21";"/92.7";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"36";"112";"contact_signal_NC_1";"A";"approved";"1054.5";"576.19";"1192.0";"871.0";"-K304.3M";"22";"21";"/92.8";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"37";"112";"contact_signal_NC_1";"A";"approved";"963.79";"576.19";"1192.0";"871.0";"-K304.4M";"22";"21";"/92.8";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"38";"113";"contact_signal_NC_1";"A";"approved";"873.08";"576.19";"1192.0";"871.0";"-K305.1M";"22";"21";"/93.6";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"39";"113";"contact_signal_NC_1";"A";"approved";"782.37";"576.19";"1192.0";"871.0";"-K305.2M";"22";"21";"/93.7";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"40";"113";"contact_signal_NC_1";"A";"approved";"1054.5";"576.19";"1192.0";"871.0";"-K305.3M";"22";"21";"/93.8";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"41";"113";"contact_signal_NC_1";"A";"approved";"963.79";"576.19";"1192.0";"871.0";"-K305.4M";"22";"21";"/93.8";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"42";"114";"contact_signal_NC_1";"A";"approved";"873.08";"576.19";"1192.0";"871.0";"-K306.1M";"22";"21";"/94.6";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"43";"114";"contact_signal_NC_1";"A";"approved";"782.37";"576.19";"1192.0";"871.0";"-K306.2M";"22";"21";"/94.7";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"44";"114";"contact_signal_NC_1";"A";"approved";"1054.5";"576.19";"1192.0";"871.0";"-K306.3M";"22";"21";"/94.8";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"45";"114";"contact_signal_NC_1";"A";"approved";"963.79";"576.19";"1192.0";"871.0";"-K306.4M";"22";"21";"/94.8";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"46";"115";"contact_signal_NC_1";"A";"approved";"873.08";"576.19";"1192.0";"871.0";"-K307.1M";"22";"21";"/94a.6";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"47";"115";"contact_signal_NC_1";"A";"approved";"782.37";"576.19";"1192.0";"871.0";"-K307.2M";"22";"21";"/94a.7";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"48";"115";"contact_signal_NC_1";"A";"approved";"1054.5";"576.19";"1192.0";"871.0";"-K307.3M";"22";"21";"/94a.8";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"49";"115";"contact_signal_NC_1";"A";"approved";"963.79";"576.19";"1192.0";"871.0";"-K307.4M";"22";"21";"/94a.8";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"50";"116";"contact_signal_NC_1";"A";"approved";"873.08";"576.19";"1192.0";"871.0";"-K308.1M";"22";"21";"/94b.6";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"51";"116";"contact_signal_NC_1";"A";"approved";"782.37";"576.19";"1192.0";"871.0";"-K308.2M";"22";"21";"/94b.7";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"52";"116";"contact_signal_NC_1";"A";"approved";"1054.5";"576.19";"1192.0";"871.0";"-K308.3M";"22";"21";"/94b.8";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"53";"116";"contact_signal_NC_1";"A";"approved";"963.79";"576.19";"1192.0";"871.0";"-K308.4M";"21";"22";"/94b.8";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"54";"117";"contact_signal_NC_1";"A";"approved";"532.92";"394.77";"1192.0";"871.0";"+R";"95";"96";"-TCHRB";"100";"29";"= 427";"+ 400A";"press";"central hydraulic band control";"427M?"
"55";"118";"contact_signal_NC_1";"A";"approved";"566.94";"270.05";"1192.0";"871.0";"-K1M";"31";"32";"/95.6";"95";"4";"= 442";"+ 400A";"trim saw";"right hand side in front
spare";"442M1"
"56";"118";"contact_signal_NC_1";"A";"approved";"873.08";"610.21";"1192.0";"871.0";"-K1M";"22";"21";"/95.6";"95";"4";"= 442";"+ 400A";"trim saw";"right hand side in front
spare";"442M1"
"57";"119";"contact_signal_NC_1";"A";"approved";"566.94";"270.05";"1192.0";"871.0";"-K2M";"31";"32";"/96.6";"96";"4";"= 442";"+ 400A";"trim saw";"right hand side at rear
spare";"442M2"
"58";"119";"contact_signal_NC_1";"A";"approved";"873.08";"610.21";"1192.0";"871.0";"-K2M";"22";"21";"/96.6";"96";"4";"= 442";"+ 400A";"trim saw";"right hand side at rear
spare";"442M2"
"59";"120";"contact_signal_NC_1";"A";"approved";"566.94";"270.05";"1192.0";"871.0";"-K3M";"31";"32";"/97.6";"97";"4";"= 442";"+ 400A";"trim saw";"left hand side in front
spare";"442M3"
"60";"120";"contact_signal_NC_1";"A";"approved";"873.08";"610.21";"1192.0";"871.0";"-K3M";"22";"21";"/97.6";"97";"4";"= 442";"+ 400A";"trim saw";"left hand side in front
spare";"442M3"
"61";"121";"contact_signal_NC_1";"A";"approved";"873.08";"610.21";"1192.0";"871.0";"-K4M";"22";"21";"/98.6";"98";"4";"= 442";"+ 400A";"trim saw";"left hand side at rear
spare";"442M4"
"62";"122";"contact_signal_NC_1";"A";"approved";"1031.82";"576.19";"1192.0";"871.0";"-K1.1M";"22";"21";"/99.7";"99";"1";"= 447";"+ 400A";"";"roller conveyor
spare";"447M1"
"63";"122";"contact_signal_NC_1";"A";"approved";"918.43";"576.19";"1192.0";"871.0";"-K1.2M";"22";"21";"/99.8";"99";"1";"= 447";"+ 400A";"";"roller conveyor
spare";"447M1"
"64";"123";"contact_signal_NC_1";"A";"approved";"986.47";"576.19";"1192.0";"871.0";"-K1.1M";"22";"21";"/100.7";"100";"1";"= 448";"+ 400A";"";"roller conveyor
spare";"448M1"
"65";"123";"contact_signal_NC_1";"A";"approved";"895.76";"576.19";"1192.0";"871.0";"-K1.2M";"22";"21";"/100.8";"100";"1";"= 448";"+ 400A";"";"roller conveyor
spare";"448M1"
"66";"130";"contact_signal_NC_1";"A";"approved";"1065.84";"542.18";"1192.0";"871.0";"-F5.1";"95";"96";"/103.1";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"67";"130";"contact_signal_NC_1";"A";"approved";"1065.84";"598.87";"1192.0";"871.0";"-F6.1";"95";"96";"/103.3";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"68";"132";"contact_signal_NC_1";"A";"approved";"1065.84";"542.18";"1192.0";"871.0";"-F7.1";"95";"96";"/106.1";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"69";"132";"contact_signal_NC_1";"A";"approved";"1065.84";"598.87";"1192.0";"871.0";"-F8.1";"95";"96";"/106.3";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"70";"140";"contact_signal_NC_1";"A";"approved";"408.2";"564.85";"1192.0";"871.0";"-K17.1M";"21";"22";"/115.2";"115";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"71";"140";"contact_signal_NC_1";"A";"approved";"294.81";"564.85";"1192.0";"871.0";"-K17.2M";"21";"22";"/115.3";"115";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"72";"140";"contact_signal_NC_1";"A";"approved";"634.97";"564.85";"1192.0";"871.0";"-K17.3M";"21";"22";"/115.4";"115";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"73";"140";"contact_signal_NC_1";"A";"approved";"521.58";"564.85";"1192.0";"871.0";"-K17.4M";"21";"22";"/115.5";"115";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"74";"140";"contact_signal_NC_1";"A";"approved";"748.36";"564.85";"1192.0";"871.0";"-K17.4M";"31";"32";"/115.5";"115";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
