"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"32";"131";"pin_up";"A";"approved";"215.43";"440.13";"1192.0";"871.0";"01";"01";"Sollw. 4-20mA";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"33";"131";"pin_up";"A";"approved";"238.11";"440.13";"1192.0";"871.0";"L";"L";"0V";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"34";"131";"pin_up";"A";"approved";"328.82";"440.13";"1192.0";"871.0";"FW";"FW";"Drehr. Rechts";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"35";"131";"pin_up";"A";"approved";"351.5";"440.13";"1192.0";"871.0";"RV";"RV";"Drehr. Links";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"36";"131";"pin_up";"A";"approved";"374.17";"440.13";"1192.0";"871.0";"RS";"RS";"Quitt. Störung";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"37";"131";"pin_up";"A";"approved";"396.85";"440.13";"1192.0";"871.0";"L";"L";"0V";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"38";"131";"pin_up";"A";"approved";"419.53";"440.13";"1192.0";"871.0";"FN";"FN";"f ist, analog/digit.";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"39";"131";"pin_up";"A";"approved";"442.2";"440.13";"1192.0";"871.0";"FRS";"FRS";"Reglersp. NOT-AUS";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"40";"131";"pin_up";"A";"approved";"362.83";"224.7";"1192.0";"871.0";"6";"6";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"41";"131";"pin_up";"A";"approved";"317.48";"224.7";"1192.0";"871.0";"5";"5";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"42";"131";"pin_up";"A";"approved";"215.43";"224.7";"1192.0";"871.0";"1";"1";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"43";"131";"pin_up";"A";"approved";"192.76";"224.7";"1192.0";"871.0";"2";"2";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"44";"131";"pin_up";"A";"approved";"113.39";"224.7";"1192.0";"871.0";"3";"3";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"45";"131";"pin_up";"A";"approved";"294.8";"224.7";"1192.0";"871.0";"4";"4";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"46";"131";"pin_up";"A";"approved";"1009.13";"111.31";"1192.0";"871.0";"AL0";"AL0";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"47";"131";"pin_up";"A";"approved";"997.8";"190.68";"1192.0";"871.0";"AL1";"AL1";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"48";"131";"pin_up";"A";"approved";"1020.47";"190.68";"1192.0";"871.0";"AL2";"AL2";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"49";"132";"pin_up";"A";"approved";"170.08";"292.73";"1192.0";"871.0";"-X1:L1";"-X1:L1";"3E";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"50";"132";"pin_up";"A";"approved";"192.76";"292.73";"1192.0";"871.0";"1 L2";"1 L2";"";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"51";"132";"pin_up";"A";"approved";"215.43";"292.73";"1192.0";"871.0";"L3";"L3";"";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"52";"132";"pin_up";"A";"approved";"238.11";"292.73";"1192.0";"871.0";"PE";"PE";"";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"53";"133";"pin_up";"A";"approved";"102.05";"440.13";"1192.0";"871.0";"-X2:JG";"-X2:JG";"Tippbetr.";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"54";"133";"pin_up";"A";"approved";"124.72";"440.13";"1192.0";"871.0";"CF2";"G CF2";"Drehz. 2";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"55";"133";"pin_up";"A";"approved";"147.4";"440.13";"1192.0";"871.0";"CF1";"CF1";"Drehz. 1";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"56";"133";"pin_up";"A";"approved";"192.76";"440.13";"1192.0";"871.0";"0";"0";"Sollw. 0-10VDC";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"57";"133";"pin_up";"A";"approved";"215.43";"440.13";"1192.0";"871.0";"01";"01";"Sollw. 4-20mA";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"58";"133";"pin_up";"A";"approved";"238.11";"440.13";"1192.0";"871.0";"L";"L";"0V";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"59";"133";"pin_up";"A";"approved";"328.82";"440.13";"1192.0";"871.0";"FW";"FW";"Drehr. Rechts";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"60";"133";"pin_up";"A";"approved";"351.5";"440.13";"1192.0";"871.0";"RV";"RV";"Drehr. Links";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"61";"133";"pin_up";"A";"approved";"374.17";"440.13";"1192.0";"871.0";"RS";"RS";"Quitt. Störung";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"62";"133";"pin_up";"A";"approved";"396.85";"440.13";"1192.0";"871.0";"L";"L";"0V";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"63";"133";"pin_up";"A";"approved";"419.53";"440.13";"1192.0";"871.0";"FN";"FN";"f ist, analog/digit.";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"64";"133";"pin_up";"A";"approved";"442.2";"440.13";"1192.0";"871.0";"FRS";"FRS";"Reglersp. NOT-AUS";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"65";"133";"pin_up";"A";"approved";"362.83";"224.7";"1192.0";"871.0";"6";"6";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"66";"133";"pin_up";"A";"approved";"317.48";"224.7";"1192.0";"871.0";"5";"5";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"67";"133";"pin_up";"A";"approved";"215.43";"224.7";"1192.0";"871.0";"1";"1";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"68";"133";"pin_up";"A";"approved";"192.76";"224.7";"1192.0";"871.0";"2";"2";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
