"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"27";"25";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/51.5";"==20.9400.201/51.5";"";"18";"23";"= 411";"+ 400A";"forming machine A";"left longitudinal screw conveyor";"411M23"
"28";"26";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/52.4";"==20.9400.201/52.4";"";"19";"23";"= 411";"+ 400A";"forming machine A";"right longitudinal screw conveyor";"411M24"
"29";"26";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/52.5";"==20.9400.201/52.5";"";"19";"23";"= 411";"+ 400A";"forming machine A";"right longitudinal screw conveyor";"411M24"
"30";"26";"BreakPoint_V_1";"A";"approved";"805.04";"430.57";"1192.0";"871.0";"==20.9400.201/52.5";"==20.9400.201/52.5";"";"19";"23";"= 411";"+ 400A";"forming machine A";"right longitudinal screw conveyor";"411M24"
"31";"27";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/53.4";"==20.9400.201/53.4";"";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26"
"32";"27";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/53.5";"==20.9400.201/53.5";"";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26"
"33";"27";"BreakPoint_V_1";"A";"approved";"1031.81";"305.84";"1192.0";"871.0";"==20.9400.201/53.4";"==20.9400.201/53.4";"";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26"
"34";"27";"BreakPoint_V_1";"A";"approved";"952.44";"305.84";"1192.0";"871.0";"==20.9400.201/53.4";"==20.9400.201/53.4";"";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26"
"35";"28";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/55.4";"==20.9400.201/55.4";"";"22";"23";"= 411";"+ 400A";"forming machine A";"transversal screw conveyor";"411M30"
"36";"28";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/55.5";"==20.9400.201/55.5";"";"22";"23";"= 411";"+ 400A";"forming machine A";"transversal screw conveyor";"411M30"
"37";"29";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/56.4";"==20.9400.201/56.4";"";"23";"23";"= 411";"+ 400A";"forming machine A";"injection screw";"411M31"
"38";"29";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/56.5";"==20.9400.201/56.5";"";"23";"23";"= 411";"+ 400A";"forming machine A";"injection screw";"411M31"
"39";"30";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/57.5";"==20.9400.201/57.5";"";"24";"23";"= 411";"+ 400A";"forming machine A";"recycling conveyor";"411M32"
"40";"30";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/57.5";"==20.9400.201/57.5";"";"24";"23";"= 411";"+ 400A";"forming machine A";"recycling conveyor";"411M32"
"41";"31";"BreakPoint_V_1";"A";"approved";"884.41";"305.84";"1192.0";"871.0";"==20.9400.201/60.5";"==20.9400.201/60.5";"";"24a";"23";"= 411";"+ 400A";"forming machine A";"screw ???";"411M33"
