"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"16";"23";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"16";"23";"= 411";"+ 400A";"forming machine A";"slow disk rolls";"411M21"
"17";"24";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"17";"23";"= 411";"+ 400A";"forming machine A";"disk screen transport belt";"411M22"
"18";"25";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"18";"23";"= 411";"+ 400A";"forming machine A";"left longitudinal screw conveyor";"411M23"
"19";"26";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"19";"23";"= 411";"+ 400A";"forming machine A";"right longitudinal screw conveyor";"411M24"
"20";"27";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26"
"21";"28";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"22";"23";"= 411";"+ 400A";"forming machine A";"transversal screw conveyor";"411M30"
"22";"29";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"23";"23";"= 411";"+ 400A";"forming machine A";"injection screw";"411M31"
"23";"30";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"24";"23";"= 411";"+ 400A";"forming machine A";"recycling conveyor";"411M32"
"24";"31";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"24a";"23";"= 411";"+ 400A";"forming machine A";"screw ???";"411M33"
"25";"32";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"24b";"23";"= 411";"+ 400A";"forming machine A";"vibrator outside";"411M34"
"26";"33";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"25";"17";"= 413";"+ 400A";"forming machine B";"dosing belt cleaning brush";"413M10"
"27";"34";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"26";"17";"= 413";"+ 400A";"forming machine B";"rotary combs";"413M11"
